#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_89_length_25616_cov_3.076307_20  -            441 18426at72274         -            352  2.5e-171  568.1   0.2   1   1  3.5e-173  2.5e-170  564.8   0.2     1   351    12   424    12   425 0.88 # 21599 # 22921 # 1 # ID=89_20;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.629
NODE_184_length_6395_cov_2.781908_3   -            319 18426at72274         -            352     0.001   16.8   0.1   1   2   3.6e-06    0.0026   15.5   0.0    12    60    16    70     7    74 0.79 # 2258 # 3214 # -1 # ID=184_3;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.629
NODE_184_length_6395_cov_2.781908_3   -            319 18426at72274         -            352     0.001   16.8   0.1   2   2       1.6   1.2e+03   -3.1   0.0   127   162   217   253   204   261 0.54 # 2258 # 3214 # -1 # ID=184_3;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.629
NODE_18_length_74730_cov_2.929601_58  -            857 18426at72274         -            352    0.0068   14.1   0.1   1   3   0.00081      0.57    7.8   0.0    20    61   184   228   177   247 0.71 # 57424 # 59994 # 1 # ID=18_58;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_18_length_74730_cov_2.929601_58  -            857 18426at72274         -            352    0.0068   14.1   0.1   2   3      0.02        14    3.3   0.0    39    60   594   615   561   626 0.87 # 57424 # 59994 # 1 # ID=18_58;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_18_length_74730_cov_2.929601_58  -            857 18426at72274         -            352    0.0068   14.1   0.1   3   3       3.3   2.3e+03   -4.1   0.0   121   149   748   776   745   790 0.72 # 57424 # 59994 # 1 # ID=18_58;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_103_length_22406_cov_2.788725_12 -            891 18426at72274         -            352     0.011   13.5   0.1   1   2    0.0039       2.7    5.6   0.0     2    54   199   248   198   257 0.83 # 10972 # 13644 # 1 # ID=103_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.634
NODE_103_length_22406_cov_2.788725_12 -            891 18426at72274         -            352     0.011   13.5   0.1   2   2    0.0048       3.4    5.3   0.0    12    60   593   647   586   665 0.71 # 10972 # 13644 # 1 # ID=103_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.634
NODE_109_length_21446_cov_2.856185_1  -            271 18426at72274         -            352     0.031   12.0   0.1   1   2   0.00019      0.13    9.9   0.1     2    60    16    69    15    76 0.89 # 3 # 815 # -1 # ID=109_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.635
NODE_109_length_21446_cov_2.856185_1  -            271 18426at72274         -            352     0.031   12.0   0.1   2   2      0.34   2.4e+02   -0.8   0.0    78   102   110   134   101   143 0.81 # 3 # 815 # -1 # ID=109_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.635
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/run_pseudomonadales_odb10/hmmer_output/18426at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:27:27 2023
# [ok]
