#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_9_length_101782_cov_2.670139_21  -            301 36169at72274         -            263  1.6e-149  494.8   0.5   1   1  3.5e-152  1.8e-149  494.6   0.5     1   263    12   296    12   296 0.96 # 21321 # 22223 # -1 # ID=9_21;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.633
NODE_206_length_2962_cov_2.625750_3   -            322 36169at72274         -            263   2.2e-07   28.9   0.0   1   1   5.8e-10     3e-07   28.4   0.0    13   186    38   209    30   236 0.83 # 1281 # 2246 # -1 # ID=206_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640
NODE_122_length_17845_cov_2.605994_13 -            372 36169at72274         -            263   6.9e-06   24.0   0.0   1   1   2.1e-08   1.1e-05   23.3   0.0    36   111   181   256   153   267 0.84 # 12881 # 13996 # -1 # ID=122_13;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.612
NODE_10_length_99402_cov_2.843808_60  -            409 36169at72274         -            263   0.00055   17.7   0.1   1   2   1.2e-05    0.0061   14.3   0.2    14   100    83   170    78   192 0.81 # 64589 # 65815 # -1 # ID=10_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.630
NODE_10_length_99402_cov_2.843808_60  -            409 36169at72274         -            263   0.00055   17.7   0.1   2   2      0.13        71    1.0   0.0   159   260   287   395   274   398 0.65 # 64589 # 65815 # -1 # ID=10_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.630
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/36169at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/run_pseudomonadales_odb10/hmmer_output/36169at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/36169at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:27:50 2023
# [ok]
