#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_186925_cov_42.279989_43  -            262 46726at72274         -            190   5.3e-82  272.8   4.7   1   1   3.2e-83   1.5e-81  271.3   4.7     6   188    18   236    14   239 0.87 # 44319 # 45104 # 1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.640
NODE_53_length_37563_cov_43.749466_28   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   4   4   1.2e-16   5.6e-15   54.2   0.6    63   156   412   509   407   535 0.84 # 32099 # 33814 # -1 # ID=53_28;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_30_length_79518_cov_42.259746_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   1   4   5.5e-07   2.6e-05   22.7   0.0     6    73    19    95    15   110 0.74 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_30_length_79518_cov_42.259746_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   2   4   7.6e-14   3.6e-12   45.1   0.0    78   144   156   222   140   236 0.89 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_30_length_79518_cov_42.259746_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   3   4   3.5e-07   1.7e-05   23.3   0.0    17    49   350   382   335   394 0.82 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_30_length_79518_cov_42.259746_17   -            555 46726at72274         -            190   8.8e-37  125.3   0.3   4   4   6.4e-09     3e-07   29.0   0.0    78   145   438   505   432   518 0.87 # 20328 # 21992 # 1 # ID=30_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_7_length_206173_cov_41.988700_16   -            535 46726at72274         -            190   1.8e-36  124.4   3.7   1   4     0.039       1.9    6.9   0.0     5    40    22    60    19    85 0.86 # 17821 # 19425 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_7_length_206173_cov_41.988700_16   -            535 46726at72274         -            190   1.8e-36  124.4   3.7   2   4   3.5e-18   1.7e-16   59.2   0.4    83   159   156   235   118   256 0.83 # 17821 # 19425 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_7_length_206173_cov_41.988700_16   -            535 46726at72274         -            190   1.8e-36  124.4   3.7   3   4     0.017      0.81    8.1   0.0    12    63   305   361   295   371 0.71 # 17821 # 19425 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_7_length_206173_cov_41.988700_16   -            535 46726at72274         -            190   1.8e-36  124.4   3.7   4   4     9e-15   4.3e-13   48.1   0.0    79   155   419   499   399   519 0.80 # 17821 # 19425 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_48_length_46070_cov_44.410892_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   1   4      0.04       1.9    6.8   0.0     7    58    19    73    15   109 0.80 # 20424 # 21995 # 1 # ID=48_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_48_length_46070_cov_44.410892_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   2   4   3.9e-17   1.9e-15   55.8   1.2    79   154   146   225   125   242 0.82 # 20424 # 21995 # 1 # ID=48_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_48_length_46070_cov_44.410892_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   3   4    0.0045      0.21    9.9   0.0     8    49   294   337   287   362 0.76 # 20424 # 21995 # 1 # ID=48_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_48_length_46070_cov_44.410892_19   -            524 46726at72274         -            190   4.4e-36  123.1   7.3   4   4   9.5e-16   4.5e-14   51.3   0.0    78   171   411   509   388   522 0.76 # 20424 # 21995 # 1 # ID=48_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_52_length_38090_cov_40.641168_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   1   4     0.021         1    7.7   0.0     8    39    24    58    19    70 0.80 # 16257 # 17876 # -1 # ID=52_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_52_length_38090_cov_40.641168_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   2   4   5.7e-15   2.7e-13   48.7   0.1    80   155   151   230   133   241 0.86 # 16257 # 17876 # -1 # ID=52_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_52_length_38090_cov_40.641168_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   3   4   7.3e-05    0.0035   15.8   0.0     6    49   288   334   285   359 0.86 # 16257 # 17876 # -1 # ID=52_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_52_length_38090_cov_40.641168_17   -            540 46726at72274         -            190   6.7e-36  122.5   1.3   4   4   4.5e-14   2.1e-12   45.8   0.0    62   167   392   503   382   523 0.81 # 16257 # 17876 # -1 # ID=52_17;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_68_length_20388_cov_40.541821_10   -            546 46726at72274         -            190   1.1e-35  121.7   2.9   1   4      0.38        18    3.7   0.0    10    37    27    57    21    71 0.80 # 9158 # 10795 # -1 # ID=68_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_68_length_20388_cov_40.541821_10   -            546 46726at72274         -            190   1.1e-35  121.7   2.9   2   4   5.1e-15   2.4e-13   48.9   0.0    82   169   155   247   137   255 0.81 # 9158 # 10795 # -1 # ID=68_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_68_length_20388_cov_40.541821_10   -            546 46726at72274         -            190   1.1e-35  121.7   2.9   3   4   5.6e-05    0.0027   16.2   0.0     9    47   298   339   293   345 0.86 # 9158 # 10795 # -1 # ID=68_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_68_length_20388_cov_40.541821_10   -            546 46726at72274         -            190   1.1e-35  121.7   2.9   4   4   2.2e-15     1e-13   50.1   0.1    66   169   402   510   398   519 0.83 # 9158 # 10795 # -1 # ID=68_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_18_length_119600_cov_42.302422_32  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   1   4   3.2e-10   1.5e-08   33.2   0.0     9    77    41   111    38   127 0.82 # 31151 # 32710 # -1 # ID=18_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_18_length_119600_cov_42.302422_32  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   2   4   6.8e-06   0.00033   19.1   0.0    79   152   157   233   139   240 0.85 # 31151 # 32710 # -1 # ID=18_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_18_length_119600_cov_42.302422_32  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   3   4      0.36        17    3.7   0.1    12    49   293   333   284   340 0.81 # 31151 # 32710 # -1 # ID=18_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_18_length_119600_cov_42.302422_32  -            520 46726at72274         -            190   4.1e-34  116.7   3.1   4   4   8.4e-18     4e-16   58.0   0.0    69   154   401   489   382   493 0.83 # 31151 # 32710 # -1 # ID=18_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_41_length_54595_cov_41.846130_30   -            526 46726at72274         -            190   3.4e-32  110.4   3.1   1   3   0.00066     0.032   12.7   0.0    14    50    29    65    17    87 0.83 # 34141 # 35718 # 1 # ID=41_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_41_length_54595_cov_41.846130_30   -            526 46726at72274         -            190   3.4e-32  110.4   3.1   2   3   4.7e-14   2.2e-12   45.8   0.0    78   143   136   201   111   212 0.87 # 34141 # 35718 # 1 # ID=41_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_41_length_54595_cov_41.846130_30   -            526 46726at72274         -            190   3.4e-32  110.4   3.1   3   3   2.2e-14   1.1e-12   46.8   0.4    19   142   366   512   356   518 0.75 # 34141 # 35718 # 1 # ID=41_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_5_length_229610_cov_41.480005_85   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   1   4   1.4e-06   6.8e-05   21.3   0.0     7    47    20    63    16    95 0.87 # 103647 # 105179 # 1 # ID=5_85;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_5_length_229610_cov_41.480005_85   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   2   4     4e-08   1.9e-06   26.4   0.0    78   154   137   216   114   224 0.87 # 103647 # 105179 # 1 # ID=5_85;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_5_length_229610_cov_41.480005_85   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   3   4       2.9   1.4e+02    0.8   0.0    17    48   284   315   272   329 0.81 # 103647 # 105179 # 1 # ID=5_85;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_5_length_229610_cov_41.480005_85   -            511 46726at72274         -            190   1.4e-31  108.4   1.5   4   4   5.2e-17   2.5e-15   55.4   0.1    78   154   395   474   380   487 0.87 # 103647 # 105179 # 1 # ID=5_85;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_6_length_212507_cov_41.251422_93   -            263 46726at72274         -            190   3.3e-30  103.9   0.0   1   2   2.1e-06   9.8e-05   20.8   0.0    17    51    36    70    20    92 0.85 # 99330 # 100118 # 1 # ID=6_93;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
NODE_6_length_212507_cov_41.251422_93   -            263 46726at72274         -            190   3.3e-30  103.9   0.0   2   2     6e-25   2.9e-23   81.3   0.1    63   186   121   248   101   251 0.91 # 99330 # 100118 # 1 # ID=6_93;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
NODE_42_length_53771_cov_43.156362_30   -            249 46726at72274         -            190   4.1e-30  103.6   0.0   1   2   4.2e-10     2e-08   32.9   0.0     8    72    30   107    27   113 0.81 # 26862 # 27608 # 1 # ID=42_30;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.667
NODE_42_length_53771_cov_43.156362_30   -            249 46726at72274         -            190   4.1e-30  103.6   0.0   2   2   4.3e-21   2.1e-19   68.7   0.0    71   179   127   241   111   246 0.83 # 26862 # 27608 # 1 # ID=42_30;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.667
NODE_71_length_17654_cov_40.432448_15   -            503 46726at72274         -            190   1.2e-29  102.1   3.5   1   3   1.6e-06   7.5e-05   21.2   0.1     8    47    19    61    15    68 0.87 # 14932 # 16440 # -1 # ID=71_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_71_length_17654_cov_40.432448_15   -            503 46726at72274         -            190   1.2e-29  102.1   3.5   2   3   1.1e-09   5.5e-08   31.4   0.1    79   154   136   214   117   218 0.86 # 14932 # 16440 # -1 # ID=71_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_71_length_17654_cov_40.432448_15   -            503 46726at72274         -            190   1.2e-29  102.1   3.5   3   3   6.7e-15   3.2e-13   48.5   0.0    64   156   377   472   370   491 0.87 # 14932 # 16440 # -1 # ID=71_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_5_length_229610_cov_41.480005_7    -            512 46726at72274         -            190   1.3e-29  102.0   4.7   1   4   1.4e-07   6.7e-06   24.6   0.1     9    49    19    62    14    78 0.85 # 8397 # 9932 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_5_length_229610_cov_41.480005_7    -            512 46726at72274         -            190   1.3e-29  102.0   4.7   2   4   9.7e-08   4.6e-06   25.2   0.2    82   154   138   213   120   230 0.83 # 8397 # 9932 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_5_length_229610_cov_41.480005_7    -            512 46726at72274         -            190   1.3e-29  102.0   4.7   3   4    0.0047      0.22    9.9   0.0    11    50   270   312   263   317 0.86 # 8397 # 9932 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_5_length_229610_cov_41.480005_7    -            512 46726at72274         -            190   1.3e-29  102.0   4.7   4   4   1.1e-12   5.1e-11   41.3   0.0    79   156   389   469   373   495 0.89 # 8397 # 9932 # 1 # ID=5_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_2_length_236949_cov_43.085704_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   1   4   0.00033     0.016   13.6   0.0     9    38    21    53    17    64 0.81 # 135971 # 137530 # 1 # ID=2_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_2_length_236949_cov_43.085704_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   2   4   3.4e-07   1.6e-05   23.4   0.1    80   161   141   227   111   244 0.76 # 135971 # 137530 # 1 # ID=2_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_2_length_236949_cov_43.085704_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   3   4       1.1        54    2.1   0.0     9    38   280   312   274   326 0.79 # 135971 # 137530 # 1 # ID=2_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_2_length_236949_cov_43.085704_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   4   4   7.2e-17   3.4e-15   54.9   0.0    81   154   404   480   386   484 0.89 # 135971 # 137530 # 1 # ID=2_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_26_length_98166_cov_43.232468_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   1   4     5e-08   2.4e-06   26.1   0.0     6    55    21    74    17    95 0.85 # 44613 # 46166 # 1 # ID=26_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_26_length_98166_cov_43.232468_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   2   4   5.7e-07   2.7e-05   22.6   0.4    81   161   142   227   120   241 0.80 # 44613 # 46166 # 1 # ID=26_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_26_length_98166_cov_43.232468_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   3   4     0.055       2.6    6.4   0.0    11    49   275   316   269   325 0.79 # 44613 # 46166 # 1 # ID=26_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_26_length_98166_cov_43.232468_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   4   4   1.8e-12   8.4e-11   40.6   0.0    80   153   397   473   347   504 0.87 # 44613 # 46166 # 1 # ID=26_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_12_length_160433_cov_40.733708_87  -            503 46726at72274         -            190     7e-27   93.0   3.8   1   4   1.4e-05   0.00068   18.1   0.0    18    49    36    67    21    75 0.85 # 81423 # 82931 # 1 # ID=12_87;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_12_length_160433_cov_40.733708_87  -            503 46726at72274         -            190     7e-27   93.0   3.8   2   4   1.9e-05   0.00091   17.7   0.1    47   152   102   215    80   221 0.71 # 81423 # 82931 # 1 # ID=12_87;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_12_length_160433_cov_40.733708_87  -            503 46726at72274         -            190     7e-27   93.0   3.8   3   4    0.0055      0.26    9.7   0.0    17    49   284   316   272   327 0.84 # 81423 # 82931 # 1 # ID=12_87;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_12_length_160433_cov_40.733708_87  -            503 46726at72274         -            190     7e-27   93.0   3.8   4   4   4.9e-14   2.3e-12   45.7   0.0    78   154   394   473   378   482 0.88 # 81423 # 82931 # 1 # ID=12_87;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.627
NODE_1_length_486209_cov_41.704357_112  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   1   4   0.00018    0.0086   14.5   0.1    19    49    34    64    16    72 0.81 # 114625 # 117345 # -1 # ID=1_112;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_1_length_486209_cov_41.704357_112  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   2   4   4.4e-10   2.1e-08   32.8   0.0    75   130   131   186   118   199 0.87 # 114625 # 117345 # -1 # ID=1_112;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_1_length_486209_cov_41.704357_112  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   3   4   0.00023     0.011   14.1   0.1    17    49   295   327   282   371 0.84 # 114625 # 117345 # -1 # ID=1_112;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_1_length_486209_cov_41.704357_112  -            907 46726at72274         -            190   1.6e-26   91.9   4.3   4   4   8.7e-09   4.2e-07   28.6   0.0    76   140   391   459   354   491 0.75 # 114625 # 117345 # -1 # ID=1_112;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_39_length_61665_cov_40.656470_21   -            327 46726at72274         -            190   3.9e-26   90.6   0.1   1   2   3.2e-08   1.5e-06   26.7   0.0     8    48    17    60    12    66 0.86 # 21929 # 22909 # -1 # ID=39_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.600
NODE_39_length_61665_cov_40.656470_21   -            327 46726at72274         -            190   3.9e-26   90.6   0.1   2   2   6.1e-19   2.9e-17   61.7   0.0    58   177   111   234    98   246 0.83 # 21929 # 22909 # -1 # ID=39_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.600
NODE_20_length_107054_cov_42.359052_36  -            496 46726at72274         -            190   1.2e-25   89.0   2.5   1   4   5.3e-05    0.0025   16.2   0.1    20    50    36    66    25    87 0.88 # 39215 # 40702 # 1 # ID=20_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_20_length_107054_cov_42.359052_36  -            496 46726at72274         -            190   1.2e-25   89.0   2.5   2   4   1.4e-05   0.00069   18.1   0.0    78   145   137   207   105   241 0.83 # 39215 # 40702 # 1 # ID=20_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.634
