#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_28_length_96887_cov_40.525679_48  -            869 3242at72274          -            746         0 1370.2   0.3   1   1         0         0 1366.8   0.3    13   746    34   867    21   867 0.92 # 47811 # 50417 # -1 # ID=28_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.613
NODE_41_length_54595_cov_41.846130_17  -            463 3242at72274          -            746     0.001   15.5   0.0   1   2    0.0037       4.7    3.4   0.0   277   358    12    95     5   106 0.69 # 21259 # 22647 # 1 # ID=41_17;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.608
NODE_41_length_54595_cov_41.846130_17  -            463 3242at72274          -            746     0.001   15.5   0.0   2   2   3.7e-05     0.047   10.0   0.0   559   618   263   321   214   330 0.81 # 21259 # 22647 # 1 # ID=41_17;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.608
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3242at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/run_pseudomonadales_odb10/hmmer_output/3242at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3242at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:36:42 2023
# [ok]
