#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_306509_cov_40.703115_159  -            292 28379at72274         -            227  4.4e-134  443.3   0.3   1   1    1e-136  5.1e-134  443.1   0.3     1   227    48   290    48   290 0.97 # 171121 # 171996 # -1 # ID=2_159;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.596
NODE_1_length_774295_cov_40.518222_463  -            399 28379at72274         -            227    0.0019   16.0   0.0   1   1   6.3e-06    0.0031   15.2   0.0    93   180    93   184    67   202 0.74 # 501182 # 502378 # -1 # ID=1_463;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623
NODE_14_length_139126_cov_49.893929_46  -            217 28379at72274         -            227     0.014   13.1   0.1   1   1    0.0004       0.2    9.3   0.1    55   185    51   189    41   197 0.59 # 53395 # 54045 # -1 # ID=14_46;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_1_length_774295_cov_40.518222_490  -            207 28379at72274         -            227     0.046   11.4   0.0   1   1   0.00014     0.067   10.9   0.0   104   147    59   104    14   113 0.82 # 525707 # 526327 # -1 # ID=1_490;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/run_pseudomonadales_odb10/hmmer_output/28379at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:35:07 2023
# [ok]
