## Sun Mar 19 01:09:13 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_1_length_774295_cov_40.668278_18	216595.PFLU_0100	9.19e-303	829.0	COG0612@1|root,COG0612@2|Bacteria,1QR8N@1224|Proteobacteria,1SRES@1236|Gammaproteobacteria,1YP31@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	peptidase, M16	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M16,Peptidase_M16_C
NODE_1_length_774295_cov_40.668278_19	1415630.U771_00710	9.17e-238	655.0	28IX1@1|root,2ZC5T@2|Bacteria,1R35E@1224|Proteobacteria,1T63M@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2914)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2914
NODE_1_length_774295_cov_40.668278_20	690597.JH730983_gene120	2.22e-243	672.0	COG0767@1|root,COG0767@2|Bacteria,1MVPN@1224|Proteobacteria,1RYHN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	ABC-type transport system involved in resistance to organic solvents permease component	mlaE_1	-	-	ko:K02066	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	MlaE,STAS_2
NODE_1_length_774295_cov_40.668278_21	1470593.BW43_01051	1.78e-173	486.0	COG1127@1|root,COG1127@2|Bacteria,1MUSD@1224|Proteobacteria,1S2T9@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	abc transporter atp-binding protein	-	-	-	ko:K02065	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	ABC_tran
NODE_1_length_774295_cov_40.668278_22	216595.PFLU_0096	2.98e-199	555.0	COG1463@1|root,COG1463@2|Bacteria,1MU4B@1224|Proteobacteria,1S5E8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	ABC-type transport system involved in resistance to organic solvents periplasmic component	-	-	-	ko:K02067	ko02010,map02010	M00210,M00669,M00670	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.27	-	-	MlaD
NODE_1_length_774295_cov_40.668278_23	216595.PFLU_0095	3.8e-125	358.0	COG3218@1|root,COG3218@2|Bacteria,1RED4@1224|Proteobacteria,1SYNV@1236|Gammaproteobacteria,1YSXC@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	ABC-type transport auxiliary lipoprotein component	-	-	-	ko:K18480	-	M00669	-	-	ko00000,ko00002,ko02000	3.A.1.27.1	-	-	ABC_trans_aux
NODE_1_length_774295_cov_40.668278_24	321846.PS417_00475	1.33e-276	758.0	COG0700@1|root,COG2715@1|root,COG0700@2|Bacteria,COG2715@2|Bacteria,1MVZ0@1224|Proteobacteria,1RRBY@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	membrane protein required for spore maturation in B.subtilis	spmB	-	-	ko:K06374	-	-	-	-	ko00000	-	-	-	Gate
NODE_1_length_774295_cov_40.668278_25	1415630.U771_00680	1.96e-293	804.0	COG1301@1|root,COG1301@2|Bacteria,1MU0Q@1224|Proteobacteria,1RMEN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	U	Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family	gltP	GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0008150,GO:0015711,GO:0015849,GO:0016020,GO:0044464,GO:0046942,GO:0051179,GO:0051234,GO:0071702,GO:0071944	-	ko:K11102	-	-	-	-	ko00000,ko02000	2.A.23.1.1,2.A.23.1.2	-	iPC815.YPO0254	SDF
NODE_1_length_774295_cov_40.668278_26	1415630.U771_00675	8.05e-99	288.0	29IKC@1|root,305HJ@2|Bacteria,1RES2@1224|Proteobacteria,1S4G7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	inhibitor of vertebrate lysozyme	-	-	-	-	-	-	-	-	-	-	-	-	Ivy
NODE_1_length_774295_cov_40.668278_27	1117958.PE143B_0123055	4.36e-27	99.0	COG5487@1|root,COG5487@2|Bacteria,1NGAH@1224|Proteobacteria,1SGD7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	UPF0391 membrane protein	ytjA	-	-	-	-	-	-	-	-	-	-	-	DUF1328
NODE_1_length_774295_cov_40.668278_28	1282356.H045_21515	2.7e-41	137.0	2B1BZ@1|root,31TSJ@2|Bacteria,1QRJ8@1224|Proteobacteria,1RUJT@1236|Gammaproteobacteria,1YR3M@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_1_length_774295_cov_40.668278_29	216595.PFLU_0088	9.28e-317	863.0	COG2204@1|root,COG2204@2|Bacteria,1MU0N@1224|Proteobacteria,1RMCK@1236|Gammaproteobacteria,1YPZ1@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	T	Alginate biosynthesis transcriptional regulatory protein AlgB	algB	-	-	ko:K11384	ko02020,map02020	M00505	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	HTH_8,Response_reg,Sigma54_activat
NODE_1_length_774295_cov_40.668278_30	690597.JH730983_gene130	0.0	1022.0	COG5002@1|root,COG5002@2|Bacteria,1R6WE@1224|Proteobacteria,1S608@1236|Gammaproteobacteria,1YM4X@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	T	Histidine kinase	kinB	-	2.7.13.3	ko:K11383	ko02020,map02020	M00505	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA,KinB_sensor,PAS_4
NODE_1_length_774295_cov_40.668278_31	1415630.U771_00650	1.61e-176	493.0	COG3023@1|root,COG3023@2|Bacteria,1RCK8@1224|Proteobacteria,1SYXH@1236|Gammaproteobacteria	1236|Gammaproteobacteria	V	N-acetylmuramoyl-L-alanine amidase	amiD	-	3.5.1.28	ko:K11066	-	-	-	-	ko00000,ko01000,ko01011	-	-	-	Amidase_2,PG_binding_1
NODE_1_length_774295_cov_40.668278_32	216595.PFLU_0085	0.0	964.0	COG2199@1|root,COG3706@2|Bacteria,1MXAW@1224|Proteobacteria,1RZ41@1236|Gammaproteobacteria,1YMIJ@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	T	diguanylate cyclase	pleD	-	2.7.7.65	ko:K13590	ko04112,map04112	-	-	-	ko00000,ko00001,ko01000	-	-	-	GGDEF
NODE_1_length_774295_cov_40.668278_33	321846.PS417_00430	2.26e-209	578.0	COG3568@1|root,COG3568@2|Bacteria,1RBWV@1224|Proteobacteria,1S296@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	Exo_endo_phos
NODE_1_length_774295_cov_40.668278_34	1211112.ALJC01000091_gene1193	5.92e-135	384.0	COG1651@1|root,COG1651@2|Bacteria,1RGWH@1224|Proteobacteria,1S5WA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Thiol disulfide interchange protein	dsbA	GO:0005575,GO:0005623,GO:0042597,GO:0044464	-	ko:K03673	ko01503,map01503	M00728	-	-	ko00000,ko00001,ko00002,ko03110	-	-	-	DSBA,Thioredoxin_4
NODE_1_length_774295_cov_40.668278_35	1415630.U771_00630	5.96e-137	388.0	COG2863@1|root,COG2863@2|Bacteria,1N2NB@1224|Proteobacteria,1RZFP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	cytochrome	cc4	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C,Cytochrome_CBB3
NODE_1_length_774295_cov_40.668278_36	216595.PFLU_0081	2.24e-63	194.0	COG3245@1|root,COG3245@2|Bacteria,1MZBZ@1224|Proteobacteria,1S9Z9@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	cytochrome c5	cyc	-	1.9.3.1	ko:K02277	ko00190,ko01100,map00190,map01100	M00155	-	-	ko00000,ko00001,ko00002,ko01000	3.D.4.4	-	-	Cytochrome_CBB3
NODE_1_length_774295_cov_40.668278_37	690597.JH730983_gene136	3.44e-151	425.0	COG0218@1|root,COG0218@2|Bacteria,1MY3Z@1224|Proteobacteria,1RNJP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	D	Necessary for normal cell division and for the maintenance of normal septation	engB	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0017076,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0097159,GO:0097367,GO:1901265,GO:1901363	-	ko:K03978	-	-	-	-	ko00000,ko03036	-	-	-	MMR_HSR1
NODE_1_length_774295_cov_40.668278_38	690597.JH730983_gene137	0.0	1656.0	COG0258@1|root,COG0749@1|root,COG0258@2|Bacteria,COG0749@2|Bacteria,1MU31@1224|Proteobacteria,1RNBG@1236|Gammaproteobacteria,1YMES@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	L	In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity	polA	GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006284,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008408,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901362,GO:1901363,GO:1901576	2.7.7.7	ko:K02335	ko00230,ko00240,ko01100,ko03030,ko03410,ko03420,ko03440,map00230,map00240,map01100,map03030,map03410,map03420,map03440	-	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	5_3_exonuc,5_3_exonuc_N,DNA_pol_A,DNA_pol_A_exo1
NODE_1_length_774295_cov_40.668278_39	690597.JH730983_gene138	2.68e-60	186.0	2C1YJ@1|root,32ZXK@2|Bacteria,1N98H@1224|Proteobacteria,1SD8N@1236|Gammaproteobacteria,1YQNW@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2782)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2782
NODE_1_length_774295_cov_40.668278_40	1415630.U771_00605	2.26e-217	601.0	COG2334@1|root,COG2334@2|Bacteria,1MUKJ@1224|Proteobacteria,1RPR6@1236|Gammaproteobacteria	1236|Gammaproteobacteria	F	Belongs to the pseudomonas-type ThrB family	thrB	-	2.7.1.39	ko:K02204	ko00260,ko01100,ko01110,ko01120,ko01230,map00260,map01100,map01110,map01120,map01230	M00018	R01771	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	APH
NODE_1_length_774295_cov_40.668278_41	690597.JH730983_gene141	3.63e-180	504.0	COG4531@1|root,COG4531@2|Bacteria,1QTTI@1224|Proteobacteria,1RMRJ@1236|Gammaproteobacteria,1YQ3A@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	P	ABC transporter	znuA	GO:0000041,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0008150,GO:0008270,GO:0030001,GO:0042597,GO:0043167,GO:0043169,GO:0044464,GO:0046872,GO:0046914,GO:0051179,GO:0051234,GO:0070838,GO:0072511	-	ko:K09815	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.3,3.A.1.15.5	-	iECs_1301.ECs2567,iEcSMS35_1347.EcSMS35_1329,iPC815.YPO2061,iZ_1308.Z2909	ZnuA
NODE_1_length_774295_cov_40.668278_42	690597.JH730983_gene142	7.11e-109	313.0	COG0735@1|root,COG0735@2|Bacteria,1MZIW@1224|Proteobacteria,1S5ZI@1236|Gammaproteobacteria,1YQ7M@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	K	Belongs to the Fur family	zur	-	-	ko:K09823	ko02024,map02024	-	-	-	ko00000,ko00001,ko03000	-	-	-	FUR
NODE_1_length_774295_cov_40.668278_43	1470593.BW43_01072	2.5e-186	518.0	COG1121@1|root,COG1121@2|Bacteria,1MUDW@1224|Proteobacteria,1RPJT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system	znuC	GO:0000041,GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005385,GO:0005488,GO:0005524,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0008144,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043492,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0070838,GO:0071577,GO:0072509,GO:0072511,GO:0097159,GO:0097367,GO:0098655,GO:0098660,GO:0098662,GO:1901265,GO:1901363	-	ko:K09817	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.15.3,3.A.1.15.5	-	iSFV_1184.SFV_1859,iSF_1195.SF1867,iSFxv_1172.SFxv_2092,iS_1188.S1934	ABC_tran
NODE_1_length_774295_cov_40.668278_44	690597.JH730983_gene144	2.93e-165	464.0	COG1108@1|root,COG1108@2|Bacteria,1MVC2@1224|Proteobacteria,1RPYF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	COG1108 ABC-type Mn2 Zn2 transport systems permease components	znuB	GO:0000006,GO:0000041,GO:0003674,GO:0005215,GO:0005385,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006829,GO:0008150,GO:0008324,GO:0010035,GO:0010038,GO:0010043,GO:0015075,GO:0015318,GO:0016020,GO:0022857,GO:0022890,GO:0030001,GO:0034220,GO:0042221,GO:0044464,GO:0046873,GO:0046915,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0070838,GO:0071577,GO:0071944,GO:0072509,GO:0072511,GO:0098655,GO:0098660,GO:0098662	-	ko:K09816	ko02010,map02010	M00242	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15.3,3.A.1.15.5	-	iEC042_1314.EC042_2026,iECABU_c1320.ECABU_c21210,iECED1_1282.ECED1_2064,iECNA114_1301.ECNA114_1921,iECSF_1327.ECSF_1717,iECUMN_1333.ECUMN_2157,iEcSMS35_1347.EcSMS35_1327,iG2583_1286.G2583_2311,iSSON_1240.SSON_1282,iYL1228.KPN_02374,ic_1306.c2273	ABC-3
NODE_1_length_774295_cov_40.668278_45	216595.PFLU_0072	1.09e-144	410.0	28V77@1|root,2ZHAC@2|Bacteria,1P8YI@1224|Proteobacteria,1SUCD@1236|Gammaproteobacteria,1YM5V@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NODE_1_length_774295_cov_40.668278_46	216595.PFLU_0071	0.0	1343.0	COG0693@1|root,COG0753@1|root,COG0693@2|Bacteria,COG0753@2|Bacteria,1MUXZ@1224|Proteobacteria,1RNE7@1236|Gammaproteobacteria,1YPGR@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	P	Serves to protect cells from the toxic effects of hydrogen peroxide	katE	GO:0003674,GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0005506,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006970,GO:0006972,GO:0006974,GO:0006979,GO:0008150,GO:0008152,GO:0009056,GO:0009628,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0016999,GO:0017001,GO:0017144,GO:0020037,GO:0033554,GO:0042221,GO:0042737,GO:0042743,GO:0042744,GO:0042802,GO:0043167,GO:0043169,GO:0044237,GO:0044248,GO:0044424,GO:0044464,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0050896,GO:0051186,GO:0051187,GO:0051716,GO:0055114,GO:0070887,GO:0072593,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901363,GO:1990748	1.11.1.6	ko:K03781	ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014	M00532	R00009,R00602,R02670	RC00034,RC00767,RC02141,RC02755	ko00000,ko00001,ko00002,ko01000	-	-	iECO26_1355.ECO26_2506	Catalase,Catalase-rel,DJ-1_PfpI
NODE_1_length_774295_cov_40.668278_47	1470593.BW43_01076	9.29e-226	624.0	COG1135@1|root,COG1135@2|Bacteria,1QTTK@1224|Proteobacteria,1RMQD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system	metN	GO:0003674,GO:0003824,GO:0005215,GO:0006810,GO:0008150,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0042623,GO:0042626,GO:0043492,GO:0051179,GO:0051234,GO:0055085	-	ko:K02071	ko02010,map02010	M00238	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.24	-	-	ABC_tran,NIL
