#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_33_length_74845_cov_30.166310_55  -            221 46364at72274         -            151   1.3e-62  208.5   0.0   1   1   3.4e-65   2.7e-62  207.5   0.0     1   151     7   193     7   193 0.85 # 54732 # 55394 # 1 # ID=33_55;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_7_length_186923_cov_31.961760_108 -            179 46364at72274         -            151    0.0015   16.8   0.0   1   3         1   7.8e+02   -1.8   0.0     1    13     3    15     3    40 0.74 # 107398 # 107934 # 1 # ID=7_108;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
NODE_7_length_186923_cov_31.961760_108 -            179 46364at72274         -            151    0.0015   16.8   0.0   2   3      0.72   5.7e+02   -1.3   0.0    65    81    38    54    23    65 0.79 # 107398 # 107934 # 1 # ID=7_108;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
NODE_7_length_186923_cov_31.961760_108 -            179 46364at72274         -            151    0.0015   16.8   0.0   3   3   1.1e-05    0.0084   14.4   0.0   104   148   101   148    93   151 0.85 # 107398 # 107934 # 1 # ID=7_108;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/46364at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/run_pseudomonadales_odb10/hmmer_output/46364at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/46364at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:33:57 2023
# [ok]
